Title,Directed by,Written by,Based on,Produced by,Starring,Music by,Production company,Distributed by,Release dates,Running time (mins),Country,Language,Budget $,Box office $,Story by,Narrated by,Cinematography,Release date,IMDB
Snow White and the Seven Dwarfs,"Supervising Director: David Hand; Sequence Directors: William Cottrell, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen","Ted Sears, Richard Creedon, Otto Englander, Dick Rickard, Earl Hurd, Merrill De Maris, Dorothy Ann Blank, Webb Smith",Snow Whiteby The Brothers Grimm,Walt Disney,"Adriana Caselotti, Lucille La Verne, Harry Stockwell, Roy Atwell, Pinto Colvig, Otis Harlan, Scotty Mattraw, Billy Gilbert, Eddie Collins, Moroni Olsen, Stuart Buchanan","Frank Churchill, Paul Smith, Leigh Harline",Walt Disney Productions,RKO Radio Pictures,1937-12-21,83,United States,English,1490000,418000000,,,,,7.6
Pinocchio,"Supervising Directors, Ben Sharpsteen, Hamilton Luske, Sequence Directors, Bill Roberts, Norman Ferguson, Jack Kinney, Wilfred Jackson, T. Hee",,The Adventures of Pinocchioby Carlo Collodi,Walt Disney,"Cliff Edwards, Dickie Jones, Christian Rub, Walter Catlett, Charles Judels, Evelyn Venable, Frankie Darro",Leigh HarlinePaul J. Smith,Walt Disney Productions,RKO Radio Pictures,1940-02-07,88,United States,English,2600000,164000000,Ted SearsOtto EnglanderWebb SmithWilliam CottrellJoseph SaboErdman PennerAurelius Battaglia,,,,7.5
Fantasia,"Samuel Armstrong, James Algar, Bill Roberts, Paul Satterfield, Ben Sharpsteen, David D. Hand, Hamilton Luske, Jim Handley, Ford Beebe, T. Hee, Norman Ferguson, Wilfred Jackson",,,"Walt Disney, Ben Sharpsteen","Leopold Stokowski, Deems Taylor",See program,Walt Disney Productions,RKO Radio Pictures,,126,United States,English,2280000,76400000,"Joe Grant, Dick Huemer",Deems Taylor,James Wong Howe,"November 13, 1940 (1940-11-13)",7.7
The Reluctant Dragon,"Alfred Werker (live action)Hamilton Luske (animation)Jack Cutting, Ub Iwerks, Jack Kinney (sequence directors)",Live-action:Ted SearsAl PerkinsLarry ClemmonsBill CottrellHarry ClorkRobert Benchley The Reluctant Dragon segment:Kenneth Grahame (original book)Erdman PennerT. HeeBaby Weems segment:Joe GrantDick HuemerJohn Miller,,Walt Disney,Robert BenchleyFrances GiffordBuddy PepperNana Bryant,Frank ChurchillLarry Morey,Walt Disney Productions,RKO Radio Pictures,,74,United States,English,600000,960000,,,Bert Glennon,"June 27, 1941 (1941-06-27)",6.8
Dumbo,"Supervising Director: Ben Sharpsteen; Sequence Directors: Norman Ferguson, Wilfred Jackson, Bill Roberts, Jack Kinney, Samuel Armstrong",,"Dumbo, the Flying Elephantby Helen AbersonHarold Pearl",Walt Disney,"Edward Brophy, Verna Felton, Cliff Edwards, Herman Bing, Sterling Holloway, Margaret Wright, Hall Johnson Choir",Frank ChurchillOliver Wallace,Walt Disney Productions,RKO Radio Pictures,1941-10-23,64,United States,English,950000,1300000,"Joe Grant, Dick Huemer",John McLeish,,,7.2
Bambi,Supervising directorDavid HandSequence directorsJames AlgarSamuel ArmstrongGraham HeidBill RobertsPaul SatterfieldNorman Wright,,"Bambi, a Life in the Woodsby Felix Salten",Walt Disney,see below,Frank ChurchillEdward H. Plumb,Walt Disney Productions,RKO Radio Pictures,1942-08-09,70,United States,English,858000,267399999,Story directionPerce PearceStory adaptationLarry MoreyStory developmentVernon StallingsMelvin ShawCarl FallbergChuck CouchRalph Wright,,,,7.3
Saludos Amigos,"Norman Ferguson, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts",,,Walt Disney,"Lee Blair, Mary Blair, Pinto Colvig, Walt Disney, Norman Ferguson, Frank Graham, Clarence Nash, José Oliveira, Frank Thomas","Paul Smith, Edward H. Plumb",Walt Disney Productions,RKO Radio Pictures,1942-08-24,42,United States,,,1135000,"Homer Brightman, William Cottrell, Richard Huemer, Joe Grant, Harold Reeves, Ted Sears, Webb Smith, Roy Williams, Ralph Wright",Fred Shields,,,6.1
Victory Through Air Power,Animated sequences: James Algar  Clyde Geronimi  Jack Kinney  de Seversky scenes:  H.C. Potter,Story direction:  Perce Pearce  Story adaptation:  T. Hee  Erdman Penner Bill Cottrell  James Brodero   George Stallings  Jose Rodriguez,Victory Through Air Power by Maj. Alexander P. Seversky,Walt Disney,Alexander de Seversky,Edward H. Plumb  Paul J. Smith  Oliver Wallace,Walt Disney Productions,United Artists,,65,United States,English,788000,799000,,Art Baker,Ray Rennahan,"July 17, 1943 (1943-07-17)",6.5
The Three Caballeros,"Supervising Director: Norman Ferguson; Sequence Directors: Clyde Geronimi, Jack Kinney, Bill Roberts, Harold Young",,,Walt Disney,"Clarence Nash, José Oliveira, Joaquin Garay","Edward H. Plumb, Paul J. Smith, Charles Wolcott",Walt Disney Productions,RKO Radio Pictures,1944-12-21,71,United States,,,3355000,"Homer Brightmen, Ernest Terrazas, Ted Sears, Bill Peet, Ralph Wright, Elmer Plummer, Roy Williams, William Cottrell, Del Connell, James Bodrero",,,,6.3
Make Mine Music,"Jack Kinney, Clyde Geronimi, Hamilton Luske, Joshua Meador, Robert Cormack",,"""Casey at the Bat""by Ernest ThayerPeter and the Wolfby Sergei Prokofiev",Walt Disney,Nelson Eddy,"Eliot Daniel, Ken Darby, Charles Wolcott, Oliver Wallace, Edward Plumb",Walt Disney Productions,"RKO Radio Pictures, Inc.",1946-04-20,75,United States,English,1350000,3275000,James BodreroHomer BrightmanErwin GrahamEric GurneyT. HeeSylvia HollandDick HuemerDick KelseyDick KinneyJesse MarshTom OrebCap PalmerErdman PennerDick ShawHarry ReevesJohn WalbridgeRoy Williams,,,,6.2
